frame,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z
27,-0.0,-0.0,-0.0,-0.4657974,0.61275655,1.1342596,0.4302805,0.49540463,1.2216057,-0.27453285,-0.07057476,0.017928528,-0.39084685,0.16149466,-0.9319102,-0.49173728,-0.11800836,-1.802974,-0.5223181,0.09191998,-1.9914572,0.27453285,0.07057476,-0.017928528,0.20137727,-0.47860625,-0.7532927,0.21830446,-1.49911,-1.3143772,0.2431687,-1.399142,-1.5601007
28,-0.0,-0.0,-0.0,-0.49625355,0.70402807,1.1306322,0.40648764,0.54123634,1.2241522,-0.27304816,-0.03484124,0.0050556585,-0.38198188,0.185353,-0.9246128,-0.57435596,-0.09861872,-1.7951804,-0.5445732,0.12790856,-1.9548675,0.27304816,0.03484124,-0.005055658,0.21527016,-0.7818502,-0.7331808,0.2643104,-1.8164248,-1.1788851,0.3335086,-1.7140071,-1.395491
29,-0.0,-0.0,-0.0,-0.49915627,0.7553981,1.0891972,0.40476793,0.6077645,1.2196308,-0.2711802,-0.02797805,-0.007836866,-0.36871272,0.21935736,-0.97030735,-0.5139124,-0.003915017,-1.8708358,-0.4620063,0.22743031,-2.015083,0.2711802,0.02797805,0.007836866,0.21437474,-0.7646997,-0.7177932,0.3341388,-1.8625163,-1.1236708,0.4298017,-1.7899498,-1.3146106
30,-0.0,-0.0,-0.0,-0.5124887,0.7827371,1.0951148,0.3884612,0.6122275,1.22122,-0.26871544,-0.016796293,-0.015402342,-0.36079144,0.2258192,-0.9847349,-0.5017793,-0.0497443,-1.8662031,-0.4850633,0.12982398,-2.035497,0.26871544,0.016796293,0.015402342,0.25792414,-0.7858656,-0.66334945,0.43137166,-1.8639611,-1.0142655,0.51824784,-1.7859019,-1.2087504
31,-0.0,-0.0,-0.0,-0.50665283,0.79405993,1.0894256,0.38864547,0.633984,1.1836317,-0.2682276,-0.020140717,-0.020129139,-0.35634652,0.18948331,-1.0148556,-0.47883576,-0.21447083,-1.8758637,-0.44961146,-0.07667828,-2.0850105,0.2682276,0.020140717,0.020129139,0.29876405,-0.78929055,-0.5689302,0.53184986,-1.915569,-0.89368206,0.61742544,-1.8887402,-1.0871035
32,-0.0,-0.0,-0.0,-0.49697557,0.78813785,1.0772604,0.4012574,0.63812536,1.1764085,-0.2682319,-0.030774364,-0.021584911,-0.30842435,0.104462355,-1.0783433,-0.3736888,-0.51138735,-1.8623224,-0.40671247,-0.50936294,-2.120213,0.2682319,0.030774364,0.021584911,0.3070431,-0.44183382,-0.60341436,0.55897176,-1.7436922,-0.84436584,0.6506903,-1.6699476,-0.9718505
33,-0.0,-0.0,-0.0,-0.4968409,0.68570244,1.0781295,0.41389897,0.57582796,1.177693,-0.27166036,-0.032471217,-0.022124378,-0.2709942,0.18621917,-1.060678,-0.32372004,-0.4995077,-1.8551426,-0.3229306,-0.4550617,-2.0436587,0.27166036,0.032471217,0.022124378,0.29330537,-0.36103123,-0.61405164,0.48495084,-1.655608,-0.8966879,0.55171984,-1.6830094,-1.0560805
34,-0.0,-0.0,-0.0,-0.49688563,0.5787559,1.0862961,0.41418457,0.5354909,1.19549,-0.27462542,-0.053906612,-0.022172851,-0.25280932,0.027987843,-1.0511856,-0.24256052,-0.76759607,-1.795555,-0.24721766,-0.7212297,-2.0304115,0.27462542,0.053906612,0.022172851,0.25853783,-0.37997067,-0.6228324,0.45201716,-1.612986,-0.9680754,0.53030086,-1.6100689,-1.1430118
35,-0.0,-0.0,-0.0,-0.49268162,0.6084573,1.0853009,0.40355,0.557371,1.1956735,-0.27421895,-0.08024907,-0.021869065,-0.19522184,-0.30030385,-0.9952407,-0.2030019,-1.1559217,-1.7175721,-0.19255643,-1.1387218,-2.0161047,0.27421895,0.08024907,0.021869065,0.2209376,-0.39856285,-0.6198439,0.44422266,-1.589036,-1.1360117,0.4824522,-1.5209844,-1.3417372
36,-0.0,-0.0,-0.0,-0.49936625,0.67526424,1.0852202,0.36059663,0.62145156,1.1994144,-0.27220982,-0.10068588,-0.015751194,-0.19465145,-0.30057478,-0.97696704,-0.21268812,-1.1541145,-1.6546214,-0.18390107,-1.1898881,-1.9468688,0.27220982,0.10068588,0.015751194,0.14153072,-0.24526551,-0.70186424,0.19214034,-0.9712905,-1.5971057,0.1786284,-0.813518,-1.8290899
37,-0.0,-0.0,-0.0,-0.47306302,0.7099542,1.0749091,0.3512469,0.6761669,1.1884345,-0.2689586,-0.13083604,-0.006973986,-0.1760577,-0.50277185,-0.94471276,-0.18540414,-1.3322457,-1.6378497,-0.1726522,-1.3650354,-1.8852494,0.2689586,0.13083604,0.006973986,0.090078615,-0.16844931,-0.7707716,0.083141826,-0.8050613,-1.7306288,0.020602198,-0.61017394,-1.9446163
38,-0.0,-0.0,-0.0,-0.46708664,0.7502849,1.0509435,0.35297146,0.66868883,1.1875364,-0.26625645,-0.12835006,0.0012510038,-0.15874068,-0.49156886,-0.88346386,-0.13499346,-1.3791136,-1.4510013,-0.050086554,-1.4621757,-1.6692905,0.26625645,0.12835006,-0.0012510045,0.054748647,-0.037554774,-0.8022217,0.015846493,-0.61019933,-1.7658027,-0.034851838,-0.4263255,-1.9926214
39,-0.0,-0.0,-0.0,-0.437502,0.7006672,0.98089004,0.3566602,0.6626895,1.1600277,-0.23965505,-0.1261176,0.061503086,-0.33367547,-0.061635535,0.5539139,-0.055597223,-0.14483058,0.60220367,0.18462358,-0.101916,0.73691285,0.23965505,0.1261176,-0.061503086,-0.016169487,-0.1256837,-0.87942505,-0.07033676,-0.647018,-1.8449686,-0.20492472,-0.44625056,-1.9866754
40,-0.0,-0.0,-0.0,-0.4252088,0.7621731,0.9549814,0.36070764,0.7001235,1.0885092,-0.240305,-0.13049592,0.057774644,-0.20573728,0.060749732,-0.07779202,0.16679624,-0.47543386,-0.6245012,0.38002792,-0.44826657,-0.7645279,0.240305,0.13049592,-0.057774644,-0.06480212,0.12474856,-0.8473094,-0.2358699,-0.3289549,-1.8140423,-0.31544665,-0.12810284,-1.996076
41,-0.0,-0.0,-0.0,-0.42357785,0.85381544,0.9393026,0.3687659,0.73206127,1.0485328,-0.24119705,-0.13061403,0.05302663,-0.028780522,0.007964702,-0.2927903,0.23628558,-0.9556223,-0.84876317,0.40127254,-1.0966611,-1.0329648,0.24119705,0.13061403,-0.05302663,-0.0588477,0.34700656,-0.844903,-0.2674041,-0.03456276,-1.7807224,-0.31848675,0.18526188,-1.9480098
42,-0.0,-0.0,-0.0,-0.40804,0.71938896,0.94337744,0.40959308,0.67727983,1.0406252,-0.2418383,-0.13111177,0.055278502,-0.07672905,0.5658761,-0.09100658,0.32373995,0.11024772,-0.7003771,0.5865863,0.18380104,-0.88346726,0.2418383,0.13111177,-0.055278502,-0.0702728,0.42801797,-0.75930226,-0.29071796,0.15079121,-1.7886187,-0.35791153,0.43539557,-1.9404926
43,-0.0,-0.0,-0.0,-0.40143523,0.5943577,0.9569424,0.44490257,0.541738,1.0558921,-0.24230532,-0.12542069,0.059296444,-0.2872594,0.83555216,0.06491284,0.29189593,0.51415193,-0.5378499,0.6248393,0.6853573,-0.68173486,0.24230532,0.12542069,-0.059296444,-0.07863885,0.2349054,-0.7565713,-0.28869832,-0.1670748,-1.793971,-0.36531657,0.15681042,-1.9702522
44,-0.0,-0.0,-0.0,-0.37898895,0.7935293,0.9627054,0.44079015,0.6878208,1.0531236,-0.24418376,-0.12524538,0.059659913,-0.29949978,-0.56391037,-0.50519776,-0.24779373,-1.7505457,-0.5325939,-0.040448077,-1.9570462,-0.66311604,0.24418376,0.12524538,-0.059659913,-0.06710233,-0.046518464,-0.80179244,-0.22844177,-0.56185186,-1.7631278,-0.30918336,-0.3518838,-1.9822029
45,-0.0,-0.0,-0.0,-0.38160348,0.85950506,0.96443105,0.4371865,0.7247857,1.0601809,-0.24575678,-0.12124922,0.059049755,-0.28662178,-0.265285,-0.7788301,-0.3598966,-1.4320681,-0.50717235,-0.1709747,-1.678224,-0.5989205,0.24575678,0.12124922,-0.059049755,-0.0599657,-0.08186968,-0.81178546,-0.19354005,-0.7013269,-1.7539638,-0.27327803,-0.5641817,-1.9935491
46,-0.0,-0.0,-0.0,-0.41170335,0.8630946,0.9657246,0.4146874,0.7449488,1.0644282,-0.248659,-0.120725036,0.049759675,-0.31425437,-0.22894146,-0.81114686,-0.25948972,-1.4628413,-0.4899621,-0.044239447,-1.7127255,-0.5855274,0.248659,0.120725036,-0.049759675,-0.056986317,-0.08048889,-0.78914213,-0.17501761,-0.81724024,-1.6238766,-0.25092474,-0.71134645,-1.9154917
47,-0.0,-0.0,-0.0,-0.44764513,0.84673935,0.9682378,0.3829056,0.7341706,1.069164,-0.25139302,-0.12123128,0.03817897,-0.33398655,-0.06680719,-0.77675015,-0.20743255,-1.216222,-0.5063742,-0.023507047,-1.4215423,-0.71526235,0.25139302,0.12123128,-0.03817897,-0.05403622,0.0224973,-0.7377686,-0.06972623,-0.8437803,-1.4761083,-0.1695221,-0.79038227,-1.7549059
48,-0.0,-0.0,-0.0,-0.4477976,0.7566108,1.0027404,0.40454102,0.72029257,1.0878072,-0.26164222,-0.12702829,0.033097405,-0.33687618,-0.2324313,-0.8185184,-0.34068376,-1.3510911,-1.2831656,-0.31959844,-1.434697,-1.5294994,0.26164222,0.12702829,-0.033097405,0.06251295,-0.1409966,-0.6921599,0.022789769,-1.1245075,-1.3775804,-0.027601311,-1.0054996,-1.618127
49,-0.0,-0.0,-0.0,-0.4451809,0.6273694,1.0736051,0.40919438,0.58044827,1.1499282,-0.26774558,-0.12671037,0.026928004,-0.38734758,-0.14178187,-0.8494298,-0.4585001,-1.1410002,-1.5259854,-0.46871838,-1.1379459,-1.8125261,0.26774558,0.12671037,-0.026928004,0.07930005,-0.1493461,-0.69558674,0.10588915,-1.1724112,-1.3351964,0.03871897,-1.1080747,-1.546259
50,-0.0,-0.0,-0.0,-0.44562674,0.5866361,1.1229463,0.4224194,0.48232573,1.1917593,-0.27204219,-0.106612556,0.023248192,-0.4096672,0.16014898,-0.8479393,-0.53396314,-0.446605,-1.6434486,-0.56634235,-0.34208086,-1.8910382,0.27204219,0.106612556,-0.023248192,0.19546768,-0.22370844,-0.7111444,0.19043319,-1.2605163,-1.3350732,0.15602006,-1.1732377,-1.5596882
